spatial_unit,centroid_lng,centroid_lat,province,city,district,adcode,township,street,business_area,nearest_aoi,nearest_poi,formatted_address,zone,borough,display_name,name_source,name_confidence,regeo_status,regeo_info
8731aa571ffffff,116.4155111,40.0102367,北京市,北京市,朝阳区,110105,大屯街道,科荟路,,紫玉山庄东区,紫玉山庄东区,北京市朝阳区大屯街道紫玉山庄(东区)紫玉山庄东区,朝阳区 · 大屯街道,朝阳区,朝阳区 · 大屯街道,township,high,1,OK
8731aa0a4ffffff,116.5952270,40.0593020,北京市,北京市,朝阳区,110105,首都机场街道,航平南路,,AMECO,交管局朝阳交通支队机场大队,北京市朝阳区首都机场街道航平南路AMECO,朝阳区 · 首都机场街道,朝阳区,朝阳区 · 首都机场街道,township,high,1,OK
8731aa19dffffff,116.5641073,40.0767586,北京市,北京市,顺义区,110113,空港街道,天柱路,,北京空港国际仓储有限公司,北京空港国际仓储有限公司,北京市顺义区空港街道天柱路北京空港国际仓储有限公司,顺义区 · 空港街道,顺义区,顺义区 · 空港街道,township,high,1,OK
8731aa462ffffff,116.4887035,39.9070971,北京市,北京市,朝阳区,110105,高碑店乡,东四环中路,,北京商务中心区(北京CBD),四惠桥,北京市朝阳区高碑店乡东四环中路辅路北京商务中心区(北京CBD),朝阳区 · 高碑店乡,朝阳区,朝阳区 · 高碑店乡,township,high,1,OK
8731aa18affffff,116.5868672,40.0764680,北京市,北京市,朝阳区,110105,首都机场街道,机场货运路,,艺龙瑞云酒店(北京首都机场新国展店),艺龙瑞云酒店(北京首都机场新国展店),北京市朝阳区首都机场街道艺龙瑞云酒店(北京首都机场新国展店),朝阳区 · 首都机场街道,朝阳区,朝阳区 · 首都机场街道,township,high,1,OK
8731aa475ffffff,116.4659835,39.9073382,北京市,北京市,朝阳区,110105,建外街道,建国路,,北京市朝阳区建外街道大北家园社区居民委员会,北京市朝阳区建外街道大北家园社区居民委员会,北京市朝阳区建外街道建外街道南郎家园社区北京市朝阳区建外街道大北家园社区居民委员会,朝阳区 · 建外街道,朝阳区,朝阳区 · 建外街道,township,high,1,OK
8731aa431ffffff,116.3151745,39.8917594,北京市,北京市,丰台区,110106,太平桥街道,西三环中路,,莲花池公园,莲花池公园,北京市丰台区太平桥街道莲花池莲花池公园,丰台区 · 太平桥街道,丰台区,丰台区 · 太平桥街道,township,high,1,OK
8731aa50dffffff,116.3555705,39.9937945,北京市,北京市,海淀区,110108,学院路街道,志新路,,中国石油勘探开发研究院,中国石油勘探开发研究院,北京市海淀区学院路街道中国地质大学继续教育学院中国石油勘探开发研究院,海淀区 · 学院路街道,海淀区,海淀区 · 学院路街道,township,high,1,OK
8731aa559ffffff,116.4719276,39.9413756,北京市,北京市,朝阳区,110105,麦子店街道,朝阳公园西路,,朝阳公园西里北区,朝阳公园西里北区,北京市朝阳区麦子店街道朝阳公园西里(北区)朝阳公园西里北区,朝阳区 · 麦子店街道,朝阳区,朝阳区 · 麦子店街道,township,high,1,OK
8731aa550ffffff,116.3952489,39.9592448,北京市,北京市,东城区,110101,和平里街道,安德里北街,,安德里小区-21号院,CPECC大楼,北京市东城区和平里街道鼓楼外大街辅路安德里小区-21号院,东城区 · 和平里街道,东城区,东城区 · 和平里街道,township,high,1,OK
8731aa434ffffff,116.2839252,39.9091095,北京市,北京市,海淀区,110108,万寿路街道,西翠路,,万寿路西街16号院,万寿路西街16号院,北京市海淀区万寿路街道万寿路西街16号院,海淀区 · 万寿路街道,海淀区,海淀区 · 万寿路街道,township,high,1,OK
8731aa55bffffff,116.4575883,39.9244766,北京市,北京市,朝阳区,110105,呼家楼街道,朝阳北路,,核桃园北里,核桃园北里,北京市朝阳区呼家楼街道核桃园北里,朝阳区 · 呼家楼街道,朝阳区,朝阳区 · 呼家楼街道,township,high,1,OK
8731aa52effffff,116.3158138,40.0283636,北京市,北京市,海淀区,110108,上地街道,上地南路,,北京体育大学,枫润家园,北京市海淀区上地街道枫润家园北京体育大学,海淀区 · 上地街道,海淀区,海淀区 · 上地街道,township,high,1,OK
8731aa52bffffff,116.3471095,40.0109599,北京市,北京市,海淀区,110108,学院路街道,双清路,,清枫华景园,清枫华景园,北京市海淀区学院路街道清枫华景园,海淀区 · 学院路街道,海淀区,海淀区 · 学院路街道,township,high,1,OK
8731aa474ffffff,116.4432552,39.9075749,北京市,北京市,朝阳区,110105,建外街道,建国门外大街,,广播大厦,广播大厦,北京市朝阳区建外街道广播大厦,朝阳区 · 建外街道,朝阳区,朝阳区 · 建外街道,township,high,1,OK
