spatial_unit,pickup_count,avg_distance,avg_duration_min,avg_price,short_trip_ratio,late_pickup_ratio,weekend_pickup_ratio,dropoff_count,active_night_hours,active_nights,max_hourly_activity,weekday_avg_activity,weekend_avg_activity,total_activity,inflow_outflow_balance,activity_persistence,weekend_boost,night_vitality_score,cluster_id,region_type,spatial_unit_type,zone,borough,score_ratio,bar_density,restaurant_density,subway_distance,entertainment_poi_count,tourism_poi_count,poi_diversity,poi_total_count,poi_meaningful_count,poi_category_count,nightlife_poi_count,transport_poi_count,business_area_count,aoi_count,avg_poi_distance,long_trip_ratio,airport_like_score,station_like_score,hub_penalty,is_transport_hub,adjusted_night_vitality_score,source_spatial_unit,source_zone
8731aa571ffffff,515.0,17.271005825242717,50.39718446601942,0.0,0.0252427184466019,0.3592233009708738,0.4563106796116505,506.0,42,6,63,17.821428571428573,37.285714285714285,1021.0,-0.0088148873653281,1.0,2.03415559772296,82.15,4,mixed_evening_area,h3,活动网格 8731aa571ffffff,Beijing,1.0,0.1944,0.0,1.16,2.0,3.0,0.589,30.0,25.0,5.0,2.0,8.0,3.0,2.0,249.45,1.0,0.45,0.3538,8.1,False,74.05,8731aa571ffffff,活动网格 8731aa571ffffff
8731aa0a4ffffff,361.0,20.982070360110804,48.56163434903047,0.0,0.0470914127423822,0.3324099722991689,0.518005540166205,375.0,42,6,52,12.5,27.571428571428573,736.0,0.0190217391304347,1.0,2.1164021164021167,82.07,4,mixed_evening_area,h3,活动网格 8731aa0a4ffffff,Beijing,0.9990261716372488,0.1389,0.0667,1.08,2.0,0.0,0.682,30.0,29.0,6.0,2.0,9.0,1.0,1.0,324.46,1.0,0.45,0.3571,8.1,False,73.97,8731aa0a4ffffff,活动网格 8731aa0a4ffffff
8731aa19dffffff,1189.0,8.735519680403701,49.03063078216989,0.0,0.0765349032800672,0.2985702270815811,0.5071488645920942,894.0,42,6,171,28.928571428571427,90.92857142857144,2083.0,-0.14162265962554,1.0,3.0715990453460624,82.0,2,nightlife_core,h3,活动网格 8731aa19dffffff,Beijing,0.9981740718198416,0.1111,0.0,1.48,1.0,4.0,0.598,30.0,30.0,5.0,1.0,4.0,2.0,1.0,300.99,0.3946,0.1776,0.1496,3.2,False,78.8,8731aa19dffffff,活动网格 8731aa19dffffff
8731aa462ffffff,1537.0,17.024742875731945,50.67523747560182,0.0,0.0195185426154847,0.3259596616785947,0.4404684450227716,1497.0,42,6,150,54.42857142857143,107.85714285714286,3034.0,-0.01318391562294,1.0,1.963917525773196,81.5,2,nightlife_core,h3,活动网格 8731aa462ffffff,Beijing,0.9920876445526476,0.4167,0.1333,1.56,6.0,4.0,0.802,30.0,26.0,7.0,6.0,3.0,3.0,1.0,362.36,1.0,0.45,0.3529,8.1,False,73.4,8731aa462ffffff,活动网格 8731aa462ffffff
8731aa18affffff,1657.0,25.71837736873869,51.72647555823778,0.0,0.0211225105612552,0.3222691611345805,0.444176222088111,1231.0,42,6,186,46.285714285714285,113.71428571428572,2888.0,-0.1475069252077562,1.0,2.4259818731117826,81.49,2,nightlife_core,h3,活动网格 8731aa18affffff,Beijing,0.9919659160073035,0.2778,0.0,0.52,5.0,0.0,0.417,30.0,23.0,4.0,5.0,16.0,0.0,2.0,352.31,1.0,0.45,0.3532,8.1,False,73.39,8731aa18affffff,活动网格 8731aa18affffff
8731aa475ffffff,2908.0,16.677094119669874,51.31997248968364,0.0,0.0192572214580467,0.3218707015130674,0.436726272352132,2808.0,42,6,296,99.96428571428572,208.3571428571429,5716.0,-0.0174947515745276,1.0,2.073576229218253,81.46,2,nightlife_core,h3,活动网格 8731aa475ffffff,Beijing,0.991600730371272,0.5278,0.2233,1.64,8.0,3.0,0.797,30.0,30.0,7.0,8.0,2.0,3.0,6.0,100.5,1.0,0.45,0.3529,8.1,False,73.36,8731aa475ffffff,活动网格 8731aa475ffffff
8731aa431ffffff,2736.0,17.03538961988304,50.33153143274854,0.0,0.033625730994152,0.3070175438596491,0.4444444444444444,2628.0,42,6,243,91.46428571428572,200.2142857142857,5364.0,-0.0201342281879194,1.0,2.1761297798377752,81.45,2,nightlife_core,h3,活动网格 8731aa431ffffff,Beijing,0.9914790018259282,1.0,0.1333,1.32,18.0,13.0,0.683,30.0,28.0,6.0,18.0,6.0,3.0,1.0,303.03,1.0,0.45,0.355,8.1,False,73.35,8731aa431ffffff,活动网格 8731aa431ffffff
8731aa50dffffff,994.0,17.25526911468813,50.5858953722334,0.0,0.0211267605633802,0.2907444668008048,0.4839034205231388,928.0,42,6,102,32.285714285714285,72.71428571428571,1922.0,-0.0343392299687825,1.0,2.2145922746781115,80.99,2,nightlife_core,h3,活动网格 8731aa50dffffff,Beijing,0.9858794887401094,0.4722,0.2667,1.56,7.0,16.0,0.665,30.0,30.0,6.0,7.0,3.0,3.0,2.0,114.91,1.0,0.45,0.3532,8.1,False,72.89,8731aa50dffffff,活动网格 8731aa50dffffff
8731aa559ffffff,1450.0,16.565336068965518,51.3954,0.0,0.0158620689655172,0.3489655172413793,0.4296551724137931,1367.0,42,6,134,51.785714285714285,97.64285714285714,2817.0,-0.0294639687610933,1.0,1.868741542625169,80.95,2,nightlife_core,h3,活动网格 8731aa559ffffff,Beijing,0.985392574558734,0.3611,0.2233,1.4,5.0,2.0,0.733,30.0,29.0,7.0,5.0,5.0,3.0,3.0,195.64,1.0,0.45,0.3524,8.1,False,72.85,8731aa559ffffff,活动网格 8731aa559ffffff
8731aa550ffffff,1263.0,16.555038242280283,51.40792557403009,0.0,0.0269200316706254,0.2905779889152811,0.4362628661916072,1201.0,42,6,142,44.32142857142857,87.35714285714286,2464.0,-0.0251623376623376,1.0,1.9495665878644604,80.92,2,nightlife_core,h3,活动网格 8731aa550ffffff,Beijing,0.9850273889227024,0.1389,0.0667,1.4,1.0,3.0,0.684,30.0,29.0,6.0,1.0,5.0,3.0,1.0,217.78,1.0,0.45,0.354,8.1,False,72.82,8731aa550ffffff,活动网格 8731aa550ffffff
8731aa434ffffff,913.0,17.162546878422784,50.701500547645125,0.0,0.0164293537787513,0.3132530120481928,0.4370208105147864,791.0,42,6,94,30.785714285714285,60.142857142857146,1704.0,-0.0715962441314554,1.0,1.9235955056179777,80.89,2,nightlife_core,h3,活动网格 8731aa434ffffff,Beijing,0.9846622032866706,0.4444,0.2233,1.72,7.0,11.0,0.842,30.0,30.0,8.0,7.0,1.0,2.0,1.0,172.62,1.0,0.45,0.3525,8.1,False,72.79,8731aa434ffffff,活动网格 8731aa434ffffff
8731aa55bffffff,2901.0,16.24628383316098,51.40537745604964,0.0,0.0196483971044467,0.3174767321613236,0.4319200275766977,2674.0,42,6,308,102.0,194.2142857142857,5575.0,-0.0407174887892376,1.0,1.8952843273231623,80.75,2,nightlife_core,h3,活动网格 8731aa55bffffff,Beijing,0.9829580036518564,0.4167,0.0667,1.8,6.0,5.0,0.618,30.0,29.0,5.0,6.0,0.0,3.0,3.0,120.28,1.0,0.45,0.3529,8.1,False,72.65,8731aa55bffffff,活动网格 8731aa55bffffff
8731aa52effffff,363.0,16.70760606060606,50.23757575757576,0.0,0.0165289256198347,0.3168044077134986,0.4269972451790633,332.0,41,6,38,12.592592592592592,25.357142857142858,695.0,-0.0446043165467625,0.9761904761904762,1.9390813546126893,80.69,4,mixed_evening_area,h3,活动网格 8731aa52effffff,Beijing,0.9822276323797928,0.2778,0.1133,1.8,4.0,8.0,0.68,30.0,30.0,6.0,4.0,0.0,2.0,2.0,191.05,1.0,0.45,0.3525,8.1,False,72.59,8731aa52effffff,活动网格 8731aa52effffff
8731aa52bffffff,532.0,15.956684962406014,49.74112781954887,0.0,0.0413533834586466,0.3139097744360902,0.3966165413533835,464.0,42,6,46,18.25,34.642857142857146,996.0,-0.0682730923694779,1.0,1.8515769944341367,80.64,4,mixed_evening_area,h3,活动网格 8731aa52bffffff,Beijing,0.9816189896530736,0.25,0.0,1.64,3.0,6.0,0.651,30.0,28.0,6.0,3.0,2.0,3.0,2.0,191.41,0.9964,0.4484,0.3549,8.07,False,72.57,8731aa52bffffff,活动网格 8731aa52bffffff
8731aa474ffffff,2089.0,16.74944140737195,51.44597893729057,0.0,0.0143609382479655,0.3475347056007659,0.3987553853518429,1955.0,42,6,177,75.21428571428571,138.42857142857142,4044.0,-0.0331355093966369,1.0,1.829428303655108,80.55,2,nightlife_core,h3,活动网格 8731aa474ffffff,Beijing,0.9805234327449786,0.6944,0.1367,1.8,11.0,7.0,0.727,30.0,30.0,6.0,11.0,0.0,3.0,3.0,83.94,1.0,0.45,0.3522,8.1,False,72.45,8731aa474ffffff,活动网格 8731aa474ffffff
8731aa42cffffff,680.0,15.949065,51.82039705882353,0.0,0.0191176470588235,0.3323529411764706,0.4426470588235294,595.0,42,6,82,23.464285714285715,44.142857142857146,1275.0,-0.0666666666666666,1.0,1.845255474452555,80.53,4,mixed_evening_area,h3,活动网格 8731aa42cffffff,Beijing,0.9802799756542908,1.0,0.0,1.8,30.0,30.0,0.044,30.0,30.0,1.0,30.0,0.0,2.0,2.0,70.3,0.9958,0.4481,0.3514,8.07,False,72.46,8731aa42cffffff,活动网格 8731aa42cffffff
8731aa519ffffff,1146.0,17.275064485165796,51.418184991274,0.0,0.0113438045375218,0.2949389179755672,0.4520069808027923,945.0,42,6,129,37.92857142857143,73.5,2091.0,-0.0961262553802008,1.0,1.913761467889908,80.42,2,nightlife_core,h3,活动网格 8731aa519ffffff,Beijing,0.978940961655508,0.25,0.1333,1.8,3.0,6.0,0.603,30.0,29.0,5.0,3.0,0.0,3.0,5.0,102.15,1.0,0.45,0.3517,8.1,False,72.32,8731aa519ffffff,活动网格 8731aa519ffffff
