spatial_unit,bar_density,restaurant_density,subway_distance,entertainment_poi_count,tourism_poi_count,poi_diversity,poi_total_count,poi_meaningful_count,poi_category_count,nightlife_poi_count,transport_poi_count,business_area_count,aoi_count,avg_poi_distance
8731aa571ffffff,0.1944,0.0,1.16,2.0,3.0,0.589,30.0,25.0,5.0,2.0,8.0,3.0,2.0,249.45
8731aa0a4ffffff,0.1389,0.0667,1.08,2.0,0.0,0.682,30.0,29.0,6.0,2.0,9.0,1.0,1.0,324.46
8731aa19dffffff,0.1111,0.0,1.48,1.0,4.0,0.598,30.0,30.0,5.0,1.0,4.0,2.0,1.0,300.99
8731aa462ffffff,0.4167,0.1333,1.56,6.0,4.0,0.802,30.0,26.0,7.0,6.0,3.0,3.0,1.0,362.36
8731aa18affffff,0.2778,0.0,0.52,5.0,0.0,0.417,30.0,23.0,4.0,5.0,16.0,0.0,2.0,352.31
8731aa475ffffff,0.5278,0.2233,1.64,8.0,3.0,0.797,30.0,30.0,7.0,8.0,2.0,3.0,6.0,100.5
8731aa431ffffff,1.0,0.1333,1.32,18.0,13.0,0.683,30.0,28.0,6.0,18.0,6.0,3.0,1.0,303.03
8731aa50dffffff,0.4722,0.2667,1.56,7.0,16.0,0.665,30.0,30.0,6.0,7.0,3.0,3.0,2.0,114.91
8731aa559ffffff,0.3611,0.2233,1.4,5.0,2.0,0.733,30.0,29.0,7.0,5.0,5.0,3.0,3.0,195.64
8731aa550ffffff,0.1389,0.0667,1.4,1.0,3.0,0.684,30.0,29.0,6.0,1.0,5.0,3.0,1.0,217.78
8731aa434ffffff,0.4444,0.2233,1.72,7.0,11.0,0.842,30.0,30.0,8.0,7.0,1.0,2.0,1.0,172.62
8731aa55bffffff,0.4167,0.0667,1.8,6.0,5.0,0.618,30.0,29.0,5.0,6.0,0.0,3.0,3.0,120.28
8731aa52effffff,0.2778,0.1133,1.8,4.0,8.0,0.68,30.0,30.0,6.0,4.0,0.0,2.0,2.0,191.05
8731aa52bffffff,0.25,0.0,1.64,3.0,6.0,0.651,30.0,28.0,6.0,3.0,2.0,3.0,2.0,191.41
8731aa474ffffff,0.6944,0.1367,1.8,11.0,7.0,0.727,30.0,30.0,6.0,11.0,0.0,3.0,3.0,83.94
8731aa42cffffff,1.0,0.0,1.8,30.0,30.0,0.044,30.0,30.0,1.0,30.0,0.0,2.0,2.0,70.3
8731aa519ffffff,0.25,0.1333,1.8,3.0,6.0,0.603,30.0,29.0,5.0,3.0,0.0,3.0,5.0,102.15
8731aa566ffffff,0.6389,0.4467,1.48,10.0,5.0,0.812,30.0,30.0,7.0,10.0,4.0,3.0,1.0,186.65
