spatial_unit,region_type,manual_score,entropy_score,pca_score,score_spread,manual_rank,entropy_rank,pca_rank
8731aa571ffffff,mixed_evening_area,82.15,76.88,27.87,54.28,1,3,81
8731aa0a4ffffff,mixed_evening_area,82.07,77.35,24.41,57.66,2,2,93
8731aa19dffffff,nightlife_core,82.0,78.02,51.15,30.85,3,1,28
8731aa462ffffff,nightlife_core,81.5,76.32,54.51,26.990000000000002,4,10,25
8731aa18affffff,nightlife_core,81.49,76.35,57.91,23.58,5,9,20
8731aa475ffffff,nightlife_core,81.46,76.28,93.52,17.239999999999995,6,11,2
8731aa431ffffff,nightlife_core,81.45,76.62,85.66,9.039999999999992,7,6,4
8731aa50dffffff,nightlife_core,80.99,76.02,40.45,40.53999999999999,8,17,52
8731aa559ffffff,nightlife_core,80.95,76.12,50.69,30.260000000000005,9,14,29
8731aa550ffffff,nightlife_core,80.92,76.16,48.3,32.620000000000005,10,13,33
8731aa434ffffff,nightlife_core,80.89,75.95,36.66,44.230000000000004,11,20,64
8731aa55bffffff,nightlife_core,80.75,76.01,92.62,16.61,12,18,3
8731aa52effffff,mixed_evening_area,80.69,75.83,21.98,58.709999999999994,13,26,105
8731aa52bffffff,mixed_evening_area,80.64,76.58,25.33,55.31,14,7,88
8731aa474ffffff,nightlife_core,80.55,75.92,66.03,14.519999999999996,15,21,11
8731aa42cffffff,mixed_evening_area,80.53,75.98,31.29,49.24,16,19,75
8731aa519ffffff,nightlife_core,80.42,75.55,43.44,36.980000000000004,17,42,45
8731aa566ffffff,mixed_evening_area,80.38,74.37,20.39,59.989999999999995,18,106,113
8731aa50affffff,nightlife_core,80.37,75.52,52.12,28.250000000000007,19,49,27
8731aa529ffffff,mixed_evening_area,80.33,76.28,22.77,57.56,20,11,100
8731aa55affffff,nightlife_core,80.33,76.03,82.38,6.349999999999994,20,16,5
8731aa55dffffff,nightlife_core,80.32,75.7,74.5,5.819999999999993,22,31,7
8731aa555ffffff,nightlife_core,80.25,75.73,58.83,21.42,23,29,19
8731aa542ffffff,nightlife_core,80.25,75.59,39.57,40.68,23,39,55
8731aa548ffffff,nightlife_core,80.24,76.75,36.7,43.53999999999999,25,4,63
8731aa51dffffff,nightlife_core,80.23,75.53,41.35,38.88,26,46,47
8731aa556ffffff,nightlife_core,80.18,75.63,53.44,26.74000000000001,27,34,26
8731aa576ffffff,mixed_evening_area,80.17,75.43,23.39,56.78,28,56,98
8731aa508ffffff,nightlife_core,80.13,75.29,42.2,37.92999999999999,29,65,46
8731aa422ffffff,nightlife_core,80.11,75.53,44.81,35.3,30,46,42
8731aa428ffffff,nightlife_core,80.08,75.62,37.21,42.87,31,36,61
8731aa573ffffff,nightlife_core,80.08,75.3,40.1,39.98,31,63,53
8731aa5a9ffffff,mixed_evening_area,80.04,75.87,27.18,52.86000000000001,33,24,84
8731aa54affffff,nightlife_core,79.98,76.49,35.36,44.620000000000005,34,8,66
8731aa558ffffff,nightlife_core,79.94,75.89,68.5,11.439999999999998,35,23,10
8731aa572ffffff,nightlife_core,79.89,75.41,37.1,42.79,36,57,62
8731aa50cffffff,nightlife_core,79.87,75.74,37.94,41.93000000000001,37,28,60
8731aa435ffffff,nightlife_core,79.86,75.09,55.01,24.85,38,80,23
8731aa415ffffff,mixed_evening_area,79.75,75.73,23.01,56.739999999999995,39,29,99
8731aa546ffffff,nightlife_core,79.73,75.68,44.61,35.120000000000005,40,33,43
8731aa430ffffff,mixed_evening_area,79.73,75.54,26.74,52.99000000000001,40,43,85
8731aa41cffffff,mixed_evening_area,79.72,75.46,20.7,59.019999999999996,42,53,108
8731aa426ffffff,nightlife_core,79.68,75.23,40.65,39.03000000000001,43,71,51
8731aa421ffffff,nightlife_core,79.66,75.5,48.03,31.629999999999995,44,50,35
