spatial_unit,night_date,hour,day_of_week,is_weekend,pickup_count,dropoff_count,activity_count
87318180affffff,2008-02-02,0,5,True,0,1,1
873181821ffffff,2008-02-02,0,5,True,0,2,2
873181822ffffff,2008-02-02,0,5,True,0,2,2
873181825ffffff,2008-02-02,0,5,True,0,2,2
873181829ffffff,2008-02-02,0,5,True,0,1,1
87318182bffffff,2008-02-02,0,5,True,0,1,1
873181843ffffff,2008-02-02,0,5,True,0,1,1
873181845ffffff,2008-02-02,0,5,True,0,1,1
873181851ffffff,2008-02-02,0,5,True,0,1,1
873181860ffffff,2008-02-02,0,5,True,0,1,1
873181862ffffff,2008-02-02,0,5,True,0,1,1
873181864ffffff,2008-02-02,0,5,True,0,3,3
873181866ffffff,2008-02-02,0,5,True,1,1,2
873181868ffffff,2008-02-02,0,5,True,0,1,1
87318186effffff,2008-02-02,0,5,True,0,1,1
873181870ffffff,2008-02-02,0,5,True,0,1,1
873181874ffffff,2008-02-02,0,5,True,0,2,2
873181876ffffff,2008-02-02,0,5,True,1,1,2
873181941ffffff,2008-02-02,0,5,True,1,1,2
873181943ffffff,2008-02-02,0,5,True,0,1,1
873181944ffffff,2008-02-02,0,5,True,0,2,2
873181945ffffff,2008-02-02,0,5,True,1,0,1
873181948ffffff,2008-02-02,0,5,True,4,0,4
87318194affffff,2008-02-02,0,5,True,3,1,4
87318194bffffff,2008-02-02,0,5,True,0,2,2
87318194dffffff,2008-02-02,0,5,True,4,7,11
87318194effffff,2008-02-02,0,5,True,0,1,1
873181951ffffff,2008-02-02,0,5,True,2,0,2
873181955ffffff,2008-02-02,0,5,True,0,1,1
87318195bffffff,2008-02-02,0,5,True,0,2,2
87318195dffffff,2008-02-02,0,5,True,1,0,1
873181960ffffff,2008-02-02,0,5,True,0,2,2
873181961ffffff,2008-02-02,0,5,True,2,0,2
873181963ffffff,2008-02-02,0,5,True,0,1,1
873181966ffffff,2008-02-02,0,5,True,1,2,3
87318196cffffff,2008-02-02,0,5,True,1,1,2
87318196dffffff,2008-02-02,0,5,True,2,2,4
873181970ffffff,2008-02-02,0,5,True,0,1,1
873181976ffffff,2008-02-02,0,5,True,0,1,1
873181989ffffff,2008-02-02,0,5,True,1,1,2
873181a03ffffff,2008-02-02,0,5,True,0,1,1
873181a22ffffff,2008-02-02,0,5,True,0,1,1
873181ae8ffffff,2008-02-02,0,5,True,0,1,1
873181b01ffffff,2008-02-02,0,5,True,0,1,1
873181b09ffffff,2008-02-02,0,5,True,1,1,2
873181b18ffffff,2008-02-02,0,5,True,0,1,1
873181b24ffffff,2008-02-02,0,5,True,0,1,1
873181b28ffffff,2008-02-02,0,5,True,1,1,2
873181b29ffffff,2008-02-02,0,5,True,0,1,1
873181b2bffffff,2008-02-02,0,5,True,1,1,2
873181b2effffff,2008-02-02,0,5,True,0,2,2
873181b35ffffff,2008-02-02,0,5,True,0,1,1
873181b4effffff,2008-02-02,0,5,True,0,2,2
873181b59ffffff,2008-02-02,0,5,True,0,1,1
873181b60ffffff,2008-02-02,0,5,True,0,1,1
873181b61ffffff,2008-02-02,0,5,True,1,0,1
873181b65ffffff,2008-02-02,0,5,True,0,1,1
873181b66ffffff,2008-02-02,0,5,True,1,1,2
873181b68ffffff,2008-02-02,0,5,True,0,1,1
873181b6affffff,2008-02-02,0,5,True,1,0,1
873181b6bffffff,2008-02-02,0,5,True,1,0,1
873181b6cffffff,2008-02-02,0,5,True,2,1,3
873181b75ffffff,2008-02-02,0,5,True,0,2,2
873185251ffffff,2008-02-02,0,5,True,0,2,2
873185253ffffff,2008-02-02,0,5,True,0,5,5
873185255ffffff,2008-02-02,0,5,True,0,2,2
873185258ffffff,2008-02-02,0,5,True,1,2,3
87318525affffff,2008-02-02,0,5,True,1,1,2
87318525bffffff,2008-02-02,0,5,True,2,0,2
87318525effffff,2008-02-02,0,5,True,2,2,4
873185269ffffff,2008-02-02,0,5,True,0,1,1
87318526dffffff,2008-02-02,0,5,True,1,1,2
8731852c4ffffff,2008-02-02,0,5,True,0,1,1
8731852ecffffff,2008-02-02,0,5,True,1,3,4
8731852edffffff,2008-02-02,0,5,True,0,1,1
87318534cffffff,2008-02-02,0,5,True,0,1,1
87318534dffffff,2008-02-02,0,5,True,1,0,1
87318536bffffff,2008-02-02,0,5,True,0,1,1
87318536dffffff,2008-02-02,0,5,True,0,1,1
873185b6bffffff,2008-02-02,0,5,True,0,1,1
8731aa004ffffff,2008-02-02,0,5,True,3,4,7
8731aa005ffffff,2008-02-02,0,5,True,1,4,5
8731aa00affffff,2008-02-02,0,5,True,1,1,2
8731aa00bffffff,2008-02-02,0,5,True,1,0,1
8731aa010ffffff,2008-02-02,0,5,True,1,0,1
8731aa014ffffff,2008-02-02,0,5,True,1,1,2
8731aa01dffffff,2008-02-02,0,5,True,1,0,1
8731aa020ffffff,2008-02-02,0,5,True,0,1,1
8731aa021ffffff,2008-02-02,0,5,True,0,1,1
8731aa02cffffff,2008-02-02,0,5,True,0,3,3
8731aa030ffffff,2008-02-02,0,5,True,3,0,3
8731aa031ffffff,2008-02-02,0,5,True,1,1,2
8731aa032ffffff,2008-02-02,0,5,True,0,1,1
8731aa033ffffff,2008-02-02,0,5,True,1,7,8
8731aa034ffffff,2008-02-02,0,5,True,2,6,8
8731aa036ffffff,2008-02-02,0,5,True,0,2,2
8731aa053ffffff,2008-02-02,0,5,True,0,1,1
8731aa056ffffff,2008-02-02,0,5,True,1,0,1
8731aa066ffffff,2008-02-02,0,5,True,1,0,1
8731aa074ffffff,2008-02-02,0,5,True,0,1,1
8731aa08bffffff,2008-02-02,0,5,True,0,2,2
8731aa090ffffff,2008-02-02,0,5,True,3,6,9
8731aa092ffffff,2008-02-02,0,5,True,3,3,6
8731aa093ffffff,2008-02-02,0,5,True,2,1,3
8731aa094ffffff,2008-02-02,0,5,True,2,3,5
8731aa095ffffff,2008-02-02,0,5,True,1,1,2
8731aa096ffffff,2008-02-02,0,5,True,2,3,5
8731aa09affffff,2008-02-02,0,5,True,4,7,11
8731aa09bffffff,2008-02-02,0,5,True,0,2,2
8731aa09cffffff,2008-02-02,0,5,True,0,1,1
8731aa0a0ffffff,2008-02-02,0,5,True,0,3,3
8731aa0a3ffffff,2008-02-02,0,5,True,1,1,2
8731aa0a4ffffff,2008-02-02,0,5,True,29,23,52
8731aa0a6ffffff,2008-02-02,0,5,True,9,2,11
8731aa0a9ffffff,2008-02-02,0,5,True,0,2,2
8731aa0acffffff,2008-02-02,0,5,True,1,0,1
8731aa0adffffff,2008-02-02,0,5,True,1,1,2
8731aa0aeffffff,2008-02-02,0,5,True,1,0,1
8731aa0b0ffffff,2008-02-02,0,5,True,0,1,1
8731aa0b1ffffff,2008-02-02,0,5,True,0,3,3
8731aa0b2ffffff,2008-02-02,0,5,True,2,0,2
8731aa0b3ffffff,2008-02-02,0,5,True,0,2,2
8731aa0b4ffffff,2008-02-02,0,5,True,2,5,7
8731aa0b5ffffff,2008-02-02,0,5,True,3,3,6
8731aa0d0ffffff,2008-02-02,0,5,True,0,1,1
8731aa0d2ffffff,2008-02-02,0,5,True,1,0,1
8731aa0d8ffffff,2008-02-02,0,5,True,0,1,1
8731aa0e5ffffff,2008-02-02,0,5,True,0,1,1
8731aa0f6ffffff,2008-02-02,0,5,True,0,1,1
8731aa100ffffff,2008-02-02,0,5,True,0,2,2
8731aa102ffffff,2008-02-02,0,5,True,0,1,1
8731aa103ffffff,2008-02-02,0,5,True,1,0,1
8731aa104ffffff,2008-02-02,0,5,True,0,1,1
8731aa10bffffff,2008-02-02,0,5,True,0,1,1
8731aa113ffffff,2008-02-02,0,5,True,0,1,1
8731aa116ffffff,2008-02-02,0,5,True,0,1,1
8731aa11affffff,2008-02-02,0,5,True,1,3,4
8731aa11cffffff,2008-02-02,0,5,True,0,3,3
8731aa11dffffff,2008-02-02,0,5,True,1,0,1
8731aa11effffff,2008-02-02,0,5,True,0,1,1
8731aa124ffffff,2008-02-02,0,5,True,2,1,3
8731aa130ffffff,2008-02-02,0,5,True,0,1,1
8731aa152ffffff,2008-02-02,0,5,True,0,1,1
8731aa154ffffff,2008-02-02,0,5,True,0,1,1
8731aa158ffffff,2008-02-02,0,5,True,0,1,1
8731aa15bffffff,2008-02-02,0,5,True,1,0,1
8731aa171ffffff,2008-02-02,0,5,True,1,1,2
8731aa180ffffff,2008-02-02,0,5,True,1,0,1
8731aa181ffffff,2008-02-02,0,5,True,2,4,6
8731aa182ffffff,2008-02-02,0,5,True,1,0,1
8731aa183ffffff,2008-02-02,0,5,True,1,0,1
8731aa185ffffff,2008-02-02,0,5,True,0,1,1
8731aa186ffffff,2008-02-02,0,5,True,0,1,1
8731aa188ffffff,2008-02-02,0,5,True,1,1,2
8731aa18affffff,2008-02-02,0,5,True,85,49,134
8731aa18cffffff,2008-02-02,0,5,True,0,2,2
8731aa18dffffff,2008-02-02,0,5,True,3,3,6
8731aa18effffff,2008-02-02,0,5,True,1,4,5
8731aa196ffffff,2008-02-02,0,5,True,0,2,2
8731aa198ffffff,2008-02-02,0,5,True,7,7,14
8731aa199ffffff,2008-02-02,0,5,True,21,16,37
8731aa19affffff,2008-02-02,0,5,True,7,3,10
8731aa19bffffff,2008-02-02,0,5,True,1,0,1
8731aa19dffffff,2008-02-02,0,5,True,39,28,67
8731aa1a0ffffff,2008-02-02,0,5,True,1,1,2
