spatial_unit,long_trip_ratio,airport_like_score,station_like_score,hub_penalty,is_transport_hub
8731aa571ffffff,1.0,0.45,0.3538,8.1,False
8731aa0a4ffffff,1.0,0.45,0.3571,8.1,False
8731aa19dffffff,0.3946,0.1776,0.1496,3.2,False
8731aa462ffffff,1.0,0.45,0.3529,8.1,False
8731aa18affffff,1.0,0.45,0.3532,8.1,False
8731aa475ffffff,1.0,0.45,0.3529,8.1,False
8731aa431ffffff,1.0,0.45,0.355,8.1,False
8731aa50dffffff,1.0,0.45,0.3532,8.1,False
8731aa559ffffff,1.0,0.45,0.3524,8.1,False
8731aa550ffffff,1.0,0.45,0.354,8.1,False
8731aa434ffffff,1.0,0.45,0.3525,8.1,False
8731aa55bffffff,1.0,0.45,0.3529,8.1,False
8731aa52effffff,1.0,0.45,0.3525,8.1,False
8731aa52bffffff,0.9964,0.4484,0.3549,8.07,False
8731aa474ffffff,1.0,0.45,0.3522,8.1,False
8731aa42cffffff,0.9958,0.4481,0.3514,8.07,False
8731aa519ffffff,1.0,0.45,0.3517,8.1,False
8731aa566ffffff,1.0,0.45,0.3542,8.1,False
8731aa50affffff,1.0,0.45,0.3517,8.1,False
8731aa529ffffff,1.0,0.45,0.3553,8.1,False
8731aa55affffff,1.0,0.45,0.3529,8.1,False
8731aa55dffffff,1.0,0.45,0.3522,8.1,False
8731aa555ffffff,1.0,0.45,0.3534,8.1,False
8731aa542ffffff,1.0,0.45,0.3519,8.1,False
8731aa548ffffff,0.94,0.423,0.3371,7.61,False
8731aa51dffffff,1.0,0.45,0.3523,8.1,False
8731aa556ffffff,1.0,0.45,0.3529,8.1,False
8731aa576ffffff,1.0,0.45,0.3515,8.1,False
8731aa508ffffff,1.0,0.45,0.3521,8.1,False
8731aa422ffffff,1.0,0.45,0.3528,8.1,False
8731aa428ffffff,1.0,0.45,0.3526,8.1,False
8731aa573ffffff,1.0,0.45,0.352,8.1,False
8731aa5a9ffffff,1.0,0.45,0.3534,8.1,False
8731aa54affffff,1.0,0.45,0.3568,8.1,False
8731aa558ffffff,1.0,0.45,0.3532,8.1,False
8731aa572ffffff,1.0,0.45,0.3527,8.1,False
8731aa50cffffff,1.0,0.45,0.3528,8.1,False
8731aa435ffffff,1.0,0.45,0.352,8.1,False
8731aa415ffffff,1.0,0.45,0.3538,8.1,False
8731aa546ffffff,1.0,0.45,0.3544,8.1,False
8731aa430ffffff,1.0,0.45,0.354,8.1,False
8731aa41cffffff,1.0,0.45,0.3526,8.1,False
8731aa426ffffff,1.0,0.45,0.3521,8.1,False
8731aa421ffffff,1.0,0.45,0.3529,8.1,False
8731aa406ffffff,0.9658,0.4346,0.3433,7.82,False
8731aa50effffff,1.0,0.45,0.3527,8.1,False
8731aa543ffffff,1.0,0.45,0.3524,8.1,False
8731aa429ffffff,1.0,0.45,0.3527,8.1,False
8731aa55cffffff,1.0,0.45,0.3543,8.1,False
8731aa425ffffff,1.0,0.45,0.3528,8.1,False
8731aa461ffffff,1.0,0.45,0.355,8.1,False
8731aa404ffffff,1.0,0.45,0.3539,8.1,False
8731aa50bffffff,1.0,0.45,0.3524,8.1,False
8731aa466ffffff,1.0,0.45,0.3531,8.1,False
8731aa423ffffff,1.0,0.45,0.3519,8.1,False
8731aa55effffff,1.0,0.45,0.3525,8.1,False
8731aa509ffffff,1.0,0.45,0.353,8.1,False
8731aa540ffffff,1.0,0.45,0.3513,8.1,False
8731aa46cffffff,1.0,0.45,0.3549,8.1,False
8731aa424ffffff,1.0,0.45,0.3528,8.1,False
8731aa464ffffff,1.0,0.45,0.353,8.1,False
8731aa551ffffff,1.0,0.45,0.354,8.1,False
8731aa470ffffff,1.0,0.45,0.3523,8.1,False
8731aa42effffff,1.0,0.45,0.3522,8.1,False
8731aa518ffffff,1.0,0.45,0.3537,8.1,False
8731aa553ffffff,1.0,0.45,0.3521,8.1,False
8731aa56bffffff,1.0,0.45,0.3572,8.1,False
8731aa463ffffff,1.0,0.45,0.3558,8.1,False
8731aa552ffffff,1.0,0.45,0.3528,8.1,False
8731aa54cffffff,1.0,0.45,0.3543,8.1,False
8731aa433ffffff,1.0,0.45,0.3568,8.1,False
8731aa554ffffff,1.0,0.45,0.3535,8.1,False
8731aa541ffffff,1.0,0.45,0.3543,8.1,False
8731aa444ffffff,1.0,0.45,0.3541,8.1,False
8731aa54effffff,1.0,0.45,0.3531,8.1,False
8731aa503ffffff,1.0,0.45,0.3508,8.1,False
8731aa51bffffff,1.0,0.45,0.3529,8.1,False
8731aa469ffffff,1.0,0.45,0.3539,8.1,False
8731aa436ffffff,1.0,0.45,0.3557,8.1,False
8731aa51affffff,1.0,0.45,0.3532,8.1,False
8731aa56affffff,1.0,0.45,0.3572,8.1,False
8731aa471ffffff,1.0,0.45,0.3539,8.1,False
8731aa473ffffff,1.0,0.45,0.3546,8.1,False
8731aa51cffffff,1.0,0.45,0.3526,8.1,False
8731aa420ffffff,0.9991,0.4496,0.3534,8.09,False
8731aa501ffffff,1.0,0.45,0.351,8.1,False
8731aa41dffffff,1.0,0.45,0.3552,8.1,False
8731aa42affffff,0.965,0.4342,0.3412,7.82,False
8731aa409ffffff,0.9948,0.4477,0.3543,8.06,False
8731aa405ffffff,0.9979,0.4491,0.3532,8.08,False
8731aa52cffffff,1.0,0.45,0.3583,8.1,False
8731aa521ffffff,1.0,0.45,0.3511,8.1,False
8731aa46effffff,1.0,0.45,0.353,8.1,False
8731aa476ffffff,0.987,0.4442,0.3492,7.99,False
8731aa460ffffff,0.9919,0.4464,0.3505,8.03,False
8731aa403ffffff,1.0,0.45,0.3527,8.1,False
8731aa408ffffff,0.9919,0.4464,0.3535,8.03,False
8731aa454ffffff,1.0,0.45,0.3539,8.1,False
8731aa42dffffff,1.0,0.45,0.3533,8.1,False
8731aa40effffff,1.0,0.45,0.3561,8.1,False
8731aa402ffffff,1.0,0.45,0.3519,8.1,False
8731aa40dffffff,0.966,0.4347,0.3417,7.82,False
8731aa545ffffff,1.0,0.45,0.3531,8.1,False
8731aa54bffffff,0.9219,0.4149,0.33,7.47,False
8731aa472ffffff,1.0,0.45,0.3533,8.1,False
8731aa528ffffff,1.0,0.45,0.3564,8.1,False
8731aa40affffff,0.9036,0.4066,0.3241,7.32,False
8731aa401ffffff,0.9752,0.4389,0.3463,7.9,False
8731aa432ffffff,1.0,0.45,0.3537,8.1,False
8731aa42bffffff,0.9921,0.4464,0.3495,8.04,False
8731aa414ffffff,1.0,0.45,0.3559,8.1,False
8731aa4d4ffffff,0.5433,0.2445,0.2255,4.4,False
8731aa468ffffff,1.0,0.45,0.3523,8.1,False
8731aa446ffffff,1.0,0.45,0.3544,8.1,False
8731aa400ffffff,1.0,0.45,0.3538,8.1,False
8731aa40bffffff,0.9774,0.4398,0.3501,7.92,False
8731aacd9ffffff,1.0,0.45,0.3516,8.1,False
8731aa40cffffff,0.9891,0.4451,0.3497,8.01,False
8731aa4ecffffff,0.7516,0.3382,0.2827,6.09,False
8731aa410ffffff,1.0,0.45,0.3558,8.1,False
8731aa0a6ffffff,1.0,0.45,0.3509,8.1,False
8731aa51effffff,1.0,0.45,0.3515,8.1,False
8731aa575ffffff,1.0,0.45,0.35,8.1,False
8731aa4e0ffffff,0.9358,0.4211,0.3326,7.58,False
8731aa4e1ffffff,0.7332,0.33,0.272,5.94,False
8731aa5a8ffffff,1.0,0.45,0.354,8.1,False
8731aa440ffffff,1.0,0.45,0.3574,8.1,False
8731aa5adffffff,0.997,0.4486,0.3571,8.08,False
8731aa199ffffff,0.6839,0.3078,0.2648,5.54,False
8731aacd2ffffff,1.0,0.45,0.3563,8.1,False
8731aa456ffffff,1.0,0.45,0.3537,8.1,False
8731aa450ffffff,0.9674,0.4353,0.3445,7.84,False
8731aa734ffffff,1.0,0.45,0.3596,8.1,False
8731aa4e4ffffff,0.9381,0.4221,0.3356,7.6,False
8731aa46dffffff,0.9896,0.4453,0.349,8.02,False
8731aa5aeffffff,0.9734,0.438,0.3476,7.88,False
8731aa569ffffff,1.0,0.45,0.3524,8.1,False
8731aa465ffffff,1.0,0.45,0.3527,8.1,False
8731aaadaffffff,0.2998,0.1349,0.1338,2.43,False
8731aa5aaffffff,1.0,0.45,0.3577,8.1,False
8731aa5abffffff,0.9934,0.447,0.3535,8.05,False
8731aa504ffffff,1.0,0.45,0.3527,8.1,False
8731aacd6ffffff,1.0,0.45,0.3559,8.1,False
8731aa030ffffff,0.4455,0.2005,0.1809,3.61,False
8731aa45bffffff,1.0,0.45,0.3537,8.1,False
8731aa411ffffff,1.0,0.45,0.3538,8.1,False
8731aa500ffffff,1.0,0.45,0.3507,8.1,False
8731aa5a3ffffff,0.9155,0.412,0.3323,7.42,False
8731aa374ffffff,0.243,0.1093,0.1225,2.21,False
8731aa198ffffff,1.0,0.45,0.3542,8.1,False
8731aa09affffff,1.0,0.45,0.3543,8.1,False
8731aa5a0ffffff,0.7158,0.3221,0.2665,5.8,False
8731aa722ffffff,0.9709,0.4369,0.3485,7.86,False
8731aa589ffffff,1.0,0.45,0.3554,8.1,False
8731aa4f2ffffff,0.6023,0.271,0.2234,4.88,False
8731aa562ffffff,1.0,0.45,0.3531,8.1,False
8731aa52affffff,1.0,0.45,0.3526,8.1,False
8731aacd3ffffff,1.0,0.45,0.3552,8.1,False
8731aa033ffffff,0.7571,0.3407,0.2913,6.13,False
8731aa4f4ffffff,0.9562,0.4303,0.3407,7.75,False
8731aa455ffffff,0.9388,0.4225,0.3364,7.6,False
8731aa19affffff,1.0,0.45,0.351,8.1,False
8731aacd0ffffff,0.9026,0.4062,0.3267,7.31,False
8731aa418ffffff,1.0,0.45,0.3527,8.1,False
8731aa4d6ffffff,0.3275,0.1474,0.1483,2.67,False
8731aa735ffffff,1.0,0.45,0.3533,8.1,False
8731aa4d0ffffff,0.5368,0.2416,0.2158,4.35,False
8731aa549ffffff,0.9628,0.4333,0.3501,7.8,False
8731aa453ffffff,0.8481,0.3816,0.3066,6.87,False
8731aa442ffffff,1.0,0.45,0.3511,8.1,False
8731aa092ffffff,1.0,0.45,0.3568,8.1,False
8731aa522ffffff,0.9903,0.4456,0.3558,8.02,False
8731aa599ffffff,0.8406,0.3783,0.3101,6.81,False
8731aa18dffffff,0.7817,0.3518,0.2776,6.33,False
8731aa588ffffff,1.0,0.45,0.3586,8.1,False
8731aa329ffffff,0.3062,0.1378,0.1326,2.48,False
873181948ffffff,0.494,0.2223,0.1902,4.0,False
8731aacddffffff,1.0,0.45,0.3531,8.1,False
8731aa5a6ffffff,0.7236,0.3256,0.2643,5.86,False
8731aa563ffffff,1.0,0.45,0.3558,8.1,False
8731aa451ffffff,1.0,0.45,0.3601,8.1,False
8731aa443ffffff,0.9102,0.4096,0.3296,7.37,False
8731aa4e6ffffff,0.6947,0.3126,0.2511,5.63,False
8731aa54dffffff,1.0,0.45,0.363,8.1,False
8731aa45affffff,1.0,0.45,0.3605,8.1,False
8731aa704ffffff,0.8022,0.361,0.2934,6.5,False
8731aa523ffffff,1.0,0.45,0.358,8.1,False
8731aa0b4ffffff,1.0,0.45,0.35,8.1,False
8731aa41affffff,0.9471,0.4262,0.3352,7.67,False
8731aa4edffffff,1.0,0.45,0.3592,8.1,False
8731aa52dffffff,1.0,0.45,0.3555,8.1,False
8731aabb4ffffff,0.3528,0.1587,0.1588,2.86,False
8731aacd1ffffff,0.8571,0.3857,0.3141,6.94,False
8731aa489ffffff,0.4379,0.1971,0.1833,3.55,False
8731aa5a1ffffff,1.0,0.45,0.3554,8.1,False
8731aa096ffffff,1.0,0.45,0.3529,8.1,False
8731aa181ffffff,1.0,0.45,0.3511,8.1,False
8731aa452ffffff,0.8876,0.3994,0.3169,7.19,False
8731aa705ffffff,0.776,0.3492,0.2891,6.29,False
8731aa034ffffff,0.3135,0.1411,0.141,2.54,False
8731aa0b5ffffff,1.0,0.45,0.3522,8.1,False
8731aa723ffffff,0.8198,0.3689,0.3019,6.64,False
8731aa502ffffff,1.0,0.45,0.35,8.1,False
8731aaccaffffff,1.0,0.45,0.3565,8.1,False
8731aaadbffffff,0.2109,0.0949,0.1046,1.88,False
8731aa59dffffff,1.0,0.45,0.3566,8.1,False
8731aa59bffffff,0.7322,0.3295,0.2739,5.93,False
8731aa58affffff,1.0,0.45,0.354,8.1,False
8731aa090ffffff,0.7976,0.3589,0.2937,6.46,False
8731aa036ffffff,0.7984,0.3593,0.2931,6.47,False
87318194dffffff,0.64,0.288,0.2385,5.18,False
8731aa094ffffff,0.9213,0.4146,0.3369,7.46,False
87318194bffffff,0.2325,0.1046,0.1078,1.94,False
8731aa183ffffff,1.0,0.45,0.3549,8.1,False
8731aa731ffffff,0.8473,0.3813,0.3177,6.86,False
8731aa416ffffff,1.0,0.45,0.3593,8.1,False
8731aa419ffffff,0.8132,0.3659,0.2914,6.59,False
87318196dffffff,0.2889,0.13,0.1136,2.34,False
8731aa031ffffff,0.6306,0.2838,0.2469,5.11,False
8731aa7b5ffffff,1.0,0.45,0.35,8.1,False
8731aa56effffff,1.0,0.45,0.3537,8.1,False
8731aa58dffffff,0.9417,0.4238,0.3312,7.63,False
8731aa570ffffff,1.0,0.45,0.3532,8.1,False
8731aa4eaffffff,0.6074,0.2733,0.2316,4.92,False
8731aa4e9ffffff,0.5853,0.2634,0.2239,4.74,False
